2026-04-12 19:22:03,333 [INFO] === LOAD STEP START ===
2026-04-12 19:22:03,333 [INFO] Reading processed parquet from: /Users/isaaccastillo/Documents/proyecto_final/etl/../data/processed/processed.parquet
2026-04-12 19:22:03,433 [INFO] processed shape: 580,305 rows x 13 cols
2026-04-12 19:22:03,433 [INFO] Connecting to MongoDB...
2026-04-12 19:22:04,649 [INFO] Connected — database: proyecto_final
2026-04-12 19:22:04,650 [INFO] Dropping existing 'processed' collection...
2026-04-12 19:22:14,447 [INFO] Inserting 580,305 documents into 'processed'...
2026-04-12 19:22:22,133 [INFO]   Inserted batch 10,000 / 580,305
2026-04-12 19:22:24,284 [INFO]   Inserted batch 20,000 / 580,305
2026-04-12 19:22:26,271 [INFO]   Inserted batch 30,000 / 580,305
2026-04-12 19:22:30,299 [INFO]   Inserted batch 40,000 / 580,305
2026-04-12 19:22:37,316 [INFO]   Inserted batch 50,000 / 580,305
2026-04-12 19:22:42,565 [INFO]   Inserted batch 60,000 / 580,305
2026-04-12 19:22:47,538 [INFO]   Inserted batch 70,000 / 580,305
2026-04-12 19:22:49,596 [INFO]   Inserted batch 80,000 / 580,305
2026-04-12 19:22:52,647 [INFO]   Inserted batch 90,000 / 580,305
2026-04-12 19:22:54,589 [INFO]   Inserted batch 100,000 / 580,305
2026-04-12 19:22:56,743 [INFO]   Inserted batch 110,000 / 580,305
2026-04-12 19:22:58,511 [INFO]   Inserted batch 120,000 / 580,305
2026-04-12 19:23:00,599 [INFO]   Inserted batch 130,000 / 580,305
2026-04-12 19:23:03,565 [INFO]   Inserted batch 140,000 / 580,305
2026-04-12 19:23:05,608 [INFO]   Inserted batch 150,000 / 580,305
2026-04-12 19:23:07,608 [INFO]   Inserted batch 160,000 / 580,305
2026-04-12 19:23:15,583 [INFO]   Inserted batch 170,000 / 580,305
2026-04-12 19:23:22,659 [INFO]   Inserted batch 180,000 / 580,305
2026-04-12 19:23:25,869 [INFO]   Inserted batch 190,000 / 580,305
2026-04-12 19:23:32,993 [INFO]   Inserted batch 200,000 / 580,305
2026-04-12 19:23:35,147 [INFO]   Inserted batch 210,000 / 580,305
2026-04-12 19:23:37,195 [INFO]   Inserted batch 220,000 / 580,305
2026-04-12 19:23:45,174 [INFO]   Inserted batch 230,000 / 580,305
2026-04-12 19:23:50,403 [INFO]   Inserted batch 240,000 / 580,305
2026-04-12 19:23:57,361 [INFO]   Inserted batch 250,000 / 580,305
2026-04-12 19:24:00,390 [INFO]   Inserted batch 260,000 / 580,305
2026-04-12 19:24:06,274 [INFO]   Inserted batch 270,000 / 580,305
2026-04-12 19:24:10,371 [INFO]   Inserted batch 280,000 / 580,305
2026-04-12 19:24:17,271 [INFO]   Inserted batch 290,000 / 580,305
2026-04-12 19:24:23,579 [INFO]   Inserted batch 300,000 / 580,305
2026-04-12 19:24:30,543 [INFO]   Inserted batch 310,000 / 580,305
2026-04-12 19:24:33,513 [INFO]   Inserted batch 320,000 / 580,305
2026-04-12 19:24:35,660 [INFO]   Inserted batch 330,000 / 580,305
2026-04-12 19:24:42,626 [INFO]   Inserted batch 340,000 / 580,305
2026-04-12 19:24:45,494 [INFO]   Inserted batch 350,000 / 580,305
2026-04-12 19:24:47,459 [INFO]   Inserted batch 360,000 / 580,305
2026-04-12 19:24:49,504 [INFO]   Inserted batch 370,000 / 580,305
2026-04-12 19:24:53,629 [INFO]   Inserted batch 380,000 / 580,305
2026-04-12 19:25:00,221 [INFO]   Inserted batch 390,000 / 580,305
2026-04-12 19:25:02,562 [INFO]   Inserted batch 400,000 / 580,305
2026-04-12 19:25:05,357 [INFO]   Inserted batch 410,000 / 580,305
2026-04-12 19:25:10,580 [INFO]   Inserted batch 420,000 / 580,305
2026-04-12 19:25:15,700 [INFO]   Inserted batch 430,000 / 580,305
2026-04-12 19:25:17,544 [INFO]   Inserted batch 440,000 / 580,305
2026-04-12 19:25:24,539 [INFO]   Inserted batch 450,000 / 580,305
2026-04-12 19:25:28,731 [INFO]   Inserted batch 460,000 / 580,305
2026-04-12 19:25:32,709 [INFO]   Inserted batch 470,000 / 580,305
2026-04-12 19:25:34,851 [INFO]   Inserted batch 480,000 / 580,305
2026-04-12 19:25:36,795 [INFO]   Inserted batch 490,000 / 580,305
2026-04-12 19:25:38,757 [INFO]   Inserted batch 500,000 / 580,305
2026-04-12 19:25:40,801 [INFO]   Inserted batch 510,000 / 580,305
2026-04-12 19:25:42,753 [INFO]   Inserted batch 520,000 / 580,305
2026-04-12 19:25:44,781 [INFO]   Inserted batch 530,000 / 580,305
2026-04-12 19:25:50,483 [INFO]   Inserted batch 540,000 / 580,305
2026-04-12 19:25:52,876 [INFO]   Inserted batch 550,000 / 580,305
2026-04-12 19:25:54,723 [INFO]   Inserted batch 560,000 / 580,305
2026-04-12 19:26:02,504 [INFO]   Inserted batch 570,000 / 580,305
2026-04-12 19:26:08,580 [INFO]   Inserted batch 580,000 / 580,305
2026-04-12 19:26:10,266 [INFO]   Inserted batch 580,305 / 580,305
2026-04-12 19:26:18,432 [INFO] 'processed' collection ready — 580,305 documents.
2026-04-12 19:26:19,065 [INFO] === LOAD STEP COMPLETE ===
